Name,Qualification,Experience,Languages,Expertise,Department,Designation,Description,Consultation Fee,Hospital Address,Hospital Phone,Not_Available_Days,Timings,Speciality Group
Dr. Prijith R S,", MD, Fellowship in liver critical care from Rela, Fellowship in Transplant Anaesthesia from Rela",12,English & Malayalam,", ALF, ACLF CARE, Complex Hpb surgery, Adult and Pediatric liver transplant","Hepatobiliary, Pancreatic & Liver Transplant Surgery, Critical Care",Associate Consultant - Transplant Anaesthesia & Critical Care,"Dr. Prijith R S who carries 12 years of experience with , MD, Fellowship in liver critical care from Rela, Fellowship in Transplant Anaesthesia from Rela is working in Hepatobiliary, Pancreatic & Liver Transplant Surgery, Critical Care asAssociate Consultant - Transplant Anaesthesia & Critical Care and is an expert in , ALF, ACLF CARE, Complex Hpb surgery, Adult and Pediatric liver transplant.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Gastroenterology & Hepatology
Dr. Prijo Philip,", FIPN (Fellowship in Pediatric Nephrology), Two Year fellowship at Christian Medical College (CMC), PGPN (Post Graduate Diploma in Pediatric Nutrition) Boston, MD (Pediatrics), MBBS, Currently Undergoing Diploma in Hospital Administration (DHA)",13,"English, Malayalam, Tamil, Hindi, Kannada & Arabic",", Neonatal and Pediatric AKI, Hemolytic Uremic Syndrome, Pediatric Renal Calculi and, Chronic Kidney disease, Initiation of DialysisHemodialysis and Peritoneal Dialysis, Plasmapheresis in the ICU setting, Special interest in expanding Renal Transplant support programs",Pediatrics,Specialist - Pediatric Nephrology,"Dr. Prijo Philip who carries 13 years of experience with , FIPN (Fellowship in Pediatric Nephrology), Two Year fellowship at Christian Medical College (CMC), PGPN (Post Graduate Diploma in Pediatric Nutrition) Boston, MD (Pediatrics), MBBS, Currently Undergoing Diploma in Hospital Administration (DHA) is working in Pediatrics asSpecialist - Pediatric Nephrology and is an expert in , Neonatal and Pediatric AKI, Hemolytic Uremic Syndrome, Pediatric Renal Calculi and, Chronic Kidney disease, Initiation of DialysisHemodialysis and Peritoneal Dialysis, Plasmapheresis in the ICU setting, Special interest in expanding Renal Transplant support programs.",1100,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Pediatrics
Dr. Priyanka,"MBBS (Kerala University of Health Science, 2021)",4,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. Priyanka is a expert General Physician have qualification of MBBS (Kerala University of Health Science, 2021) currently working in CSI Mission Hospital.",400,"CSI Mission Hospital , Kazhakuttam, Landmark: Near Aisaz Convention Center., Kazhakuttam, Thiruvananthapuram, None",-8865239469,Sunday,09:00 - 21:00,General Medicine
Dr. R. Jayakumar,"MBBS (Rangaraya Medical College, Kakinada, 1980), DPM (Psychiatry) (Rangaraya Medical College, Kakinada, 1983), M.D. (Psychiatry) (B J Medical College Ahemdabad, 1985), M.D. (Psychiatry) (B J Medical College, Ahmedabad, 1985)",45,"English, Hindi & Malayalam",Not Available,Psychiatrist,Not Available,"Dr. R. Jayakumar is a expert Psychiatrist have qualification of MBBS (Rangaraya Medical College, Kakinada, 1980), DPM (Psychiatry) (Rangaraya Medical College, Kakinada, 1983), M.D. (Psychiatry) (B J Medical College Ahemdabad, 1985), M.D. (Psychiatry) (B J Medical College, Ahmedabad, 1985) currently working in SRI RAMAKRISHNA ASHRAMA HOSPITAL.",250,"SRI RAMAKRISHNA ASHRAMA HOSPITAL , 9/1651 sasthamangalam office building hospital road, near hospital junction, sasthamangalam, thiruvananthapuram, kerala 695010, india, Kanjirampara, Thiruvananthapuram, None",-7946514463,All Days,09:00 - 17:00,Psychiatry & Psychology
"Dr. RAGESH,","MBBS (Ukm, 2012)",13,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. RAGESH, is a expert General Physician have qualification of MBBS (Ukm, 2012) currently working in Geethanjali's Diagnostic.",250,"Geethanjali's Diagnostic , Building Number : 2891/1, Ward number 47, Shastri Nagar, Poojapura, Thiruvananthapuram, 695012",-9774451578,Sunday,14:00 - 16:00,General Medicine
Dr. RAJESH M.R.,"MBBS (Kerala University, 2002)",23,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. RAJESH M.R. is a expert General Physician have qualification of MBBS (Kerala University, 2002) currently working in Geethanjali's Diagnostic.",250,"Geethanjali's Diagnostic , Building Number : 2891/1, Ward number 47, Shastri Nagar, Poojapura, Thiruvananthapuram, 695012",-7148928397,Sunday,14:00 - 16:00,General Medicine
Dr. RAJESH S.,"MBBS (Kerala University, 2003)",22,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. RAJESH S. is a expert General Physician have qualification of MBBS (Kerala University, 2003) currently working in Geethanjali's Diagnostic.",250,"Geethanjali's Diagnostic , Building Number : 2891/1, Ward number 47, Shastri Nagar, Poojapura, Thiruvananthapuram, 695012",-8042505437,Sunday,14:00 - 16:00,General Medicine
Dr. RAKHI R KURUP,"MBBS (Kuhs, 2019)",6,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. RAKHI R KURUP is a expert General Physician have qualification of MBBS (Kuhs, 2019) currently working in Cutis International.",250,"Cutis International , convent rd, rishimangalam, vanchiyoor, thiruvananthapuram, kerala 695035, india, Machel, Thiruvananthapuram, None",-7442809555,All Days,10:00 - 14:00,General Medicine
Dr. RAKHI S NAIR,"MBBS (Kerala University, 2004)",21,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. RAKHI S NAIR is a expert General Physician have qualification of MBBS (Kerala University, 2004) currently working in Ananthapuri Hospitals and Research Institute.",250,"Ananthapuri Hospitals and Research Institute , Nalanchira , Trivandrum, Chakkai, Thiruvananthapuram, 695015",-8794527577,Sunday,09:00 - 17:00,General Medicine
Dr. RESHMI G NAIR,"MBBS (Kerala University, 2002)",23,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. RESHMI G NAIR is a expert General Physician have qualification of MBBS (Kerala University, 2002) currently working in Ahalia Foundation Eye Hospital.",250,"Ahalia Foundation Eye Hospital , Thiruvananthapuram Medical College, Landmark: Near Uloor Bridge,, Ulloor, Thiruvananthapuram, None",-9538127869,All Days,08:00 - 19:00,General Medicine
Dr. RESHMI S NAIR,"MBBS (Kerala University, 2003)",22,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. RESHMI S NAIR is a expert General Physician have qualification of MBBS (Kerala University, 2003) currently working in Ahalia Foundation Eye Hospital.",250,"Ahalia Foundation Eye Hospital , Thiruvananthapuram Medical College, Landmark: Near Uloor Bridge,, Ulloor, Thiruvananthapuram, None",-8451423887,All Days,08:00 - 19:00,General Medicine
Dr. RUMA MADHU SREEDHARAN,"MBBS (Kerala University, 1997)",28,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. RUMA MADHU SREEDHARAN is a expert General Physician have qualification of MBBS (Kerala University, 1997) currently working in NIMS Hospital.",250,"NIMS Hospital , Micro, Balaramapuram, Thiruvananthapuram, 695501",-8172461622,Sunday,16:00 - 19:00,General Medicine
Dr. Rabeeh Valiyathodi,", MBBS, DGO ( Diploma in Obstetrics & Gynaecology ), DNB ( Obstetrics & Gynaecology ), Fellowship in Reproductive Medicine (FRM), DRM",15,English & Malayalam,", Reproductive endocrinology, Ovulation induction, IUI, Male and Female infertility management, IVF/ICSI Treatment, Fertility preservation, Recurrent pregnancy loss (RPL) management, Sexual dysfunction management, Andrology procedures (PESA, TESA), Laparoscopic gynaec surgeries, Hysteroscopic surgeries, Endometriosis surgeries","Fertility & IVF Clinic, Obstetrics & Gynecology",Consultant,"Dr. Rabeeh Valiyathodi who carries 15 years of experience with , MBBS, DGO ( Diploma in Obstetrics & Gynaecology ), DNB ( Obstetrics & Gynaecology ), Fellowship in Reproductive Medicine (FRM), DRM is working in Fertility & IVF Clinic, Obstetrics & Gynecology asConsultant and is an expert in , Reproductive endocrinology, Ovulation induction, IUI, Male and Female infertility management, IVF/ICSI Treatment, Fertility preservation, Recurrent pregnancy loss (RPL) management, Sexual dysfunction management, Andrology procedures (PESA, TESA), Laparoscopic gynaec surgeries, Hysteroscopic surgeries, Endometriosis surgeries.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Sexology & Fertility
Dr. Rachel Abraham,", MBBS, DCP, MD Pathology",16,"English, Malayalam & and Hindi",", Hematology, Surgical Pathology, Liver & Renal Pathology, Transplant biopsy",Laboratory Medicine,Consultant & Dy Coordinator,"Dr. Rachel Abraham who carries 16 years of experience with , MBBS, DCP, MD Pathology is working in Laboratory Medicine asConsultant & Dy Coordinator and is an expert in , Hematology, Surgical Pathology, Liver & Renal Pathology, Transplant biopsy.",600,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Pathology & Lab Medicine
Dr. Radhakrishnan K,"MBBS MD (Internal Medicine) DM (Neurology) FAMS (Neurology) FAAN Fellowships in Epilepsy, Electroencephalography and Neuroepidemiology",24,English & Malayalam,Epilepsy EEG Neuroepidemiology,"Advanced Comprehensive Epilepsy Centre, Neurosciences, Neurology",Senior Consultant & Head Advanced Comprehensive Epilepsy Centre,"Dr. Radhakrishnan K who carries 24 years of experience with MBBS MD (Internal Medicine) DM (Neurology) FAMS (Neurology) FAAN Fellowships in Epilepsy, Electroencephalography and Neuroepidemiology is working in Advanced Comprehensive Epilepsy Centre, Neurosciences, Neurology asSenior Consultant & Head Advanced Comprehensive Epilepsy Centre and is an expert in Epilepsy EEG Neuroepidemiology.",700,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Neurology & Neurosciences
Dr. Rafeekha P,", MBBS, DGO, DNB Obstetrics and Gynaecology, MNAMS",15,English & Malayalam,", Infertility cases and procedures including IVF, ICSI and IUI., Total Laparoscopic hysterectomy., Gynaec and Obstetrics Sonologists., Laparo Hysteroscopy Procedures, High, risk pregnancies, IVF / ICSI, IUI, Infertility and Assisted Reproductive Techniques (ART), High, Risk Pregnancy, Obstetrics and Gyne Sonology",Obstetrics & Gynecology,Consultant,"Dr. Rafeekha P who carries 15 years of experience with , MBBS, DGO, DNB Obstetrics and Gynaecology, MNAMS is working in Obstetrics & Gynecology asConsultant and is an expert in , Infertility cases and procedures including IVF, ICSI and IUI., Total Laparoscopic hysterectomy., Gynaec and Obstetrics Sonologists., Laparo Hysteroscopy Procedures, High, risk pregnancies, IVF / ICSI, IUI, Infertility and Assisted Reproductive Techniques (ART), High, Risk Pregnancy, Obstetrics and Gyne Sonology.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Gynecology & Obstetrics
Dr. Ragitha Binu Krishnan,", MBBS, DNB, Fellowship in laryngology",15,"English, Malayalam & Hindi",", Voice airway and thyroid surgeries, Surgery for salivary gland disorders and sialo endoscopy, Swallowing rehabilitation, Botox injection","Laryngology, ENT",Consultant,"Dr. Ragitha Binu Krishnan who carries 15 years of experience with , MBBS, DNB, Fellowship in laryngology is working in Laryngology, ENT asConsultant and is an expert in , Voice airway and thyroid surgeries, Surgery for salivary gland disorders and sialo endoscopy, Swallowing rehabilitation, Botox injection.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,ENT
Dr. Ragitha Rajmohan,"BAMS (Nangelil Ayurveda Medical College, 2014)",11,"English, Hindi & Malayalam",Not Available,Ayurveda,Not Available,"Dr. Ragitha Rajmohan is a expert Ayurveda have qualification of BAMS (Nangelil Ayurveda Medical College, 2014) currently working in Ragitha's Dry Needling and Ayurvedic pain clinic.",250,"Ragitha's Dry Needling and Ayurvedic pain clinic , padmavilasam rd, east fort, pazhavangadi, thiruvananthapuram, kerala 695023, india, Valiaveli, Thiruvananthapuram, None",-8367100427,Sunday,10:00 - 16:00,Ayush
Dr. Raheema Kalam,"MBBS (Trivandram Medical College, 1975), MD - Dermatology (Trivandram Medical College, 1996)",50,"English, Hindi & Malayalam",Not Available,Dermatologist,Not Available,"Dr. Raheema Kalam is a expert Dermatologist have qualification of MBBS (Trivandram Medical College, 1975), MD - Dermatology (Trivandram Medical College, 1996) currently working in Dr.Raheema Kalam.",150,"Dr.Raheema Kalam , Tc 49/503,Brindavan, Manacaud, Landmark: Opposite Konchiravila UP School., Manacaud, Thiruvananthapuram, None",-8974606424,Sunday,16:00 - 20:30,Dermatology & Cosmetology
Dr. Rahul Das,"BDS (RVS Dental college, Coimbatore, 2015)",10,"English, Hindi & Malayalam",Not Available,Dentist,Not Available,"A passionate dentist, an avid traveller and an aspiring musician.",200,"Fresh Smile Multispeciality Dental Clinic , Pothujanam Lane, Kumarapuram, Kumarapuram, Thiruvananthapuram, 695011",-7995969629,Sunday,09:00 - 19:00,Dentistry
Dr. Rahulan S D,MD or MS in relevant specialty,12,Malayalam & English,", Expertise in managing critically ill patients, Hemodynamic monitoring, Mechanical ventilation, Overseeing Tele, ICU operations in KIMS subunits",Critical Care,Specialist,"Dr. Rahulan S D who carries 12 years of experience with MD or MS in relevant specialty is working in Critical Care asSpecialist and is an expert in , Expertise in managing critically ill patients, Hemodynamic monitoring, Mechanical ventilation, Overseeing Tele, ICU operations in KIMS subunits.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Emergency & Critical Care
Dr. Raj Mohan L,", MD, FAMS (Endocrinology) National University of Singapore",22,"English, Malayalam & Hindi",", Diabetes, Thyroid, Fertility, Obesity, Calcium Disorders","Endocrinology & Diabetes, Endocrinology, Endocrinology & Internal Medicine",Hon Senior Consultant,"Dr. Raj Mohan L who carries 22 years of experience with , MD, FAMS (Endocrinology) National University of Singapore is working in Endocrinology & Diabetes, Endocrinology, Endocrinology & Internal Medicine asHon Senior Consultant and is an expert in , Diabetes, Thyroid, Fertility, Obesity, Calcium Disorders.",1400,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Endocrinology & Diabetes
Dr. Rajalakshmi A,", MBBS, DNB Medicine, FRCP, Fellowship training in Infectious Diseases, Observer in Transplant Infectious Diseases, CIC (Board certified in infection prevention and control and hospital, Epidemiology",25,"English, Malayalam, Hindi & and Tamil",", Infectious diseases, general and special population, Preventive health, vaccination, Antimicrobial stewardship, Hospital infection control and prevention, Training, DNB internal medicine, MRCP IMT residents, nurses interested in infection control",Infectious Diseases,Senior Consultant,"Dr. Rajalakshmi A who carries 25 years of experience with , MBBS, DNB Medicine, FRCP, Fellowship training in Infectious Diseases, Observer in Transplant Infectious Diseases, CIC (Board certified in infection prevention and control and hospital, Epidemiology is working in Infectious Diseases asSenior Consultant and is an expert in , Infectious diseases, general and special population, Preventive health, vaccination, Antimicrobial stewardship, Hospital infection control and prevention, Training, DNB internal medicine, MRCP IMT residents, nurses interested in infection control.",800,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Infectious Diseases
Dr. Rajalekshmi S,"MBBS, MD (General Medicine), DM (Cardiology)",28,"English, Malayalam.",#NAME?,Cardiology,Senior Consultant ,"Dr. Rajalekshmi S who carries 28 years of experience with MBBS, MD (General Medicine), DM (Cardiology) is working as Senior Consultant  in Cardiology and is an expert in - Coronary angioplasty
- Stenting 
- Pacemaker implantation
.",800,"BR Life SUT Pattom Hospital, Multi Super Specialty Hospital, Pattom, Thiruvananthapuram, Kerala, India, 695004",914714077777,Sunday,09:00 - 18:00,Cardiology
Dr. Rajasekharan Nair V,"MBBS, MD, DGO",32,"Malayalam, English, Hindi.",Obstetric emergencies & high-risk pregnancy management,Obstetrics & Gynaecology,HOD and Medical Superintendent,"Dr. Rajasekharan Nair V who carries 32 years of experience with MBBS, MD, DGO is working as HOD and Medical Superintendent in Obstetrics & Gynaecology and is an expert in Obstetric emergencies & high-risk pregnancy management.",1300,"BR Life SUT Pattom Hospital, Multi Super Specialty Hospital, Pattom, Thiruvananthapuram, Kerala, India, 695004",914714077777,Sunday,09:00 - 18:00,Gynecology & Obstetrics
Dr. Rajat Roy,MD or MS in relevant specialty,15,"English, Malayalam, Hindi & Tamil","Advanced clinical care, diagnostics, treatment planning",Anaesthesiology,Consultant,"Dr. Rajat Roy who carries 15 years of experience with MD or MS in relevant specialty is working in Anaesthesiology asConsultant and is an expert in Advanced clinical care, diagnostics, treatment planning.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Anesthesiology
Dr. Rajee Myladoor,"MBBS (Government Medical College,Thiruvananthapuram, 2002), Diploma in Otorhinolaryngology (DLO) (Kerala University, 2006), DNB - Otorhinolaryngology (National Board Of Examinations Nbe, 2012)",23,"English, Hindi & Malayalam",Not Available,Ear-Nose-Throat (ENT) Specialist,Not Available,"Dr. Rajee Myladoor is a expert Ear-Nose-Throat (ENT) Specialist have qualification of MBBS (Government Medical College,Thiruvananthapuram, 2002), Diploma in Otorhinolaryngology (DLO) (Kerala University, 2006), DNB - Otorhinolaryngology (National Board Of Examinations Nbe, 2012) currently working in Zane Diagnostic Centre & Polyclinic.",300,"Zane Diagnostic Centre & Polyclinic , Number 216/4, Nalanchira, Thiruvananthapuram, 695015",-8340855444,All Days,09:00 - 19:00,ENT
Dr. Rajeesh R. Nair,"MBBS (Kerala University Of Health Sciences, 2016)",9,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. Rajeesh R. Nair is a expert General Physician have qualification of MBBS (Kerala University Of Health Sciences, 2016) currently working in Thiruvananthapuram.",250,"Thiruvananthapuram , Government Dental College, TV Medical College, Thiruvananthapuram, None",-8305532205,All Days,00:00 - 23:59,General Medicine
Dr. Rajesh R.U.,"MBBS (Cochin University Of Science And Technology, 2012)",13,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. Rajesh R.U. is a expert General Physician have qualification of MBBS (Cochin University Of Science And Technology, 2012) currently working in Thiruvananthapuram.",250,"Thiruvananthapuram , Government Dental College, TV Medical College, Thiruvananthapuram, None",-7794447568,All Days,00:00 - 23:59,General Medicine
Dr. Rajesh Raveendranath,"BDS Ph.D (EcoleSuperieure Sorbonne University, France) FICCMO(Fellow of International College of Cranio Mandibular Orthopedics) MICCMO( Master of International College of CranioMandibularOrthopedics)",11,"English, Malayalam & Hindi",Craniofacial Pain and Dental Sleep Medicine,"Dental, Clinical, Oral & Maxillofacial Surgery",Neuro Muscular Dentist,"Dr. Rajesh Raveendranath who carries 11 years of experience with BDS Ph.D (EcoleSuperieure Sorbonne University, France) FICCMO(Fellow of International College of Cranio Mandibular Orthopedics) MICCMO( Master of International College of CranioMandibularOrthopedics) is working in Dental, Clinical, Oral & Maxillofacial Surgery asNeuro Muscular Dentist and is an expert in Craniofacial Pain and Dental Sleep Medicine.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Dentistry
Dr. Rajesh S,", MBBS from Government Stanley Medical College in 1999, MD (General Medicine) from Madras Medical College in 2003, DM Rheumatology from Madras Medical College in 2010, MRCP (UK) from Royal College of Edinburgh in 2004, FRCP (London) Conferred by Royal College of Physicians (London) in 2020",25,"English, Malayalam, Hindi & Tamil",", Autoimmune Rheumatological conditions including arthritis, vasculitis, myositis and related disorders, Degenerative joint disease, Metabolic bone and joint disease, Intra articular and Intralesional injection techniques","Rheumatology & Clinical Immunology, Rheumatology",Senior Consultant,"Dr. Rajesh S who carries 25 years of experience with , MBBS from Government Stanley Medical College in 1999, MD (General Medicine) from Madras Medical College in 2003, DM Rheumatology from Madras Medical College in 2010, MRCP (UK) from Royal College of Edinburgh in 2004, FRCP (London) Conferred by Royal College of Physicians (London) in 2020 is working in Rheumatology & Clinical Immunology, Rheumatology asSenior Consultant and is an expert in , Autoimmune Rheumatological conditions including arthritis, vasculitis, myositis and related disorders, Degenerative joint disease, Metabolic bone and joint disease, Intra articular and Intralesional injection techniques.",900,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Rheumatology
Dr. Rajesh S R,"MD - Physician (MGM Medical College and Hospital, 2007), MD - Respiratory Medicine (MGM Medical College and Hospital, 2014)",18,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. Rajesh S R is a expert General Physician have qualification of MD - Physician (MGM Medical College and Hospital, 2007), MD - Respiratory Medicine (MGM Medical College and Hospital, 2014) currently working in Geethanjali's Diagnostic.",300,"Geethanjali's Diagnostic , Building Number : 2891/1, Ward number 47, Shastri Nagar, Poojapura, Thiruvananthapuram, 695012",-7760494788,Sunday,14:00 - 16:00,General Medicine
Dr. Rajesh Sasikumaran,", MBBS, DNB (General Medicine), FNB (Critical Care)",15,"English, Malayalam, Hindi & Tamil",", Evaluation & Treatment of Critically Ill Patients, Teaching & Training of Doctors & Staff",Critical Care,Consultant,"Dr. Rajesh Sasikumaran who carries 15 years of experience with , MBBS, DNB (General Medicine), FNB (Critical Care) is working in Critical Care asConsultant and is an expert in , Evaluation & Treatment of Critically Ill Patients, Teaching & Training of Doctors & Staff.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Emergency & Critical Care
Dr. Rajesh V Pillai,", D.Ortho, DNB, Fellowship in Joint Replacement",15,"English, Malayalam & Hindi",", Trauma & Joint Replacement, Over 15 years of experience in trauma",Orthopedics,Consultant,"Dr. Rajesh V Pillai who carries 15 years of experience with , D.Ortho, DNB, Fellowship in Joint Replacement is working in Orthopedics asConsultant and is an expert in , Trauma & Joint Replacement, Over 15 years of experience in trauma.",500,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Orthopedics & Physiotherapy
Dr. Rakhi R J,"MBBS (Kerala University Of Health Sciences, 2017), MS - Obstetrics & Gynaecology (Kerala University Of Health Sciences, 2022)",8,"English, Hindi & Malayalam",Not Available,Gynecologist/Obstetrician,Not Available,"Dr. Rakhi R J is a expert Gynecologist/Obstetrician have qualification of MBBS (Kerala University Of Health Sciences, 2017), MS - Obstetrics & Gynaecology (Kerala University Of Health Sciences, 2022) currently working in Cutis International.",250,"Cutis International , convent rd, rishimangalam, vanchiyoor, thiruvananthapuram, kerala 695035, india, Machel, Thiruvananthapuram, None",-9013263101,All Days,10:00 - 14:00,Gynecology & Obstetrics
Dr. Ram Mohan C V,", MBBS, MS Gen Surgery, DNB Gen Surgery, Mch Paediatric Surgery",25,"English, Malayalam, Tamil, Telugu & Hindi",", General Paediatric Surgery, Paediatric Urology, Paediatric Oncology, Bronchoscopic and cystoscopic procedure, Basic Laparoscopic Procedure","Pediatric Surgery, Pediatrics",Senior Consultant,"Dr. Ram Mohan C V who carries 25 years of experience with , MBBS, MS Gen Surgery, DNB Gen Surgery, Mch Paediatric Surgery is working in Pediatric Surgery, Pediatrics asSenior Consultant and is an expert in , General Paediatric Surgery, Paediatric Urology, Paediatric Oncology, Bronchoscopic and cystoscopic procedure, Basic Laparoscopic Procedure.",1400,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Pediatrics
Dr. Ramakrishna Pillai V,", MBBS, MD, DM",24,"English, Malayalam, Hindi & Arabic & Tamil",", 40 years of Experience, Interventional procedure in coronary and congenital heart diseases, Pacemaker and ICD implantation, Clinical cardiology and echocardiography, Teaching cardiology, Echocardiography in neonates","Cardiology, Cardiac Sciences",Senior Consultant & Director - Interventional Cardiology,"Dr. Ramakrishna Pillai V who carries 24 years of experience with , MBBS, MD, DM is working in Cardiology, Cardiac Sciences asSenior Consultant & Director - Interventional Cardiology and is an expert in , 40 years of Experience, Interventional procedure in coronary and congenital heart diseases, Pacemaker and ICD implantation, Clinical cardiology and echocardiography, Teaching cardiology, Echocardiography in neonates.",800,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Cardiology
Dr. Ramesan Pillai G,"BSc, MBBS, DRM, MD (General Medicine)",5,"Malayalam, English, Hindi, Tamil",#NAME?,Internal Medicine,Senior Consultant,"Dr. Ramesan Pillai G who carries 5 years of experience with BSc, MBBS, DRM, MD (General Medicine) is working as Senior Consultant in Internal Medicine and is an expert in - In the management of lifestyle diseases such as diabetes mellitus, hypertension, dyslipidemia and obesity
- Management of infectious diseases
.",1200,"BR Life SUT Pattom Hospital, Multi Super Specialty Hospital, Pattom, Thiruvananthapuram, Kerala, India, 695004",914714077777,Sunday,09:00 - 18:00,General Medicine
Dr. Ramesh Natarajan,", MBBS (Med), MD, DM (Cardio), DNB, MNAMS, FESC, Intravascular Ultrasound fellowship from Sakakibara heart institute, Okayama, Japan in 2018",25,"English, Malayalam & and Hindi",", Interventional Cardiology including complex coronary angioplasty, Pacemaker ICD Implantations and follow up, Balloon valvotomy and device closures for structural heart disease","Cardiology, Cardiac Sciences",Senior Consultant,"Dr. Ramesh Natarajan who carries 25 years of experience with , MBBS (Med), MD, DM (Cardio), DNB, MNAMS, FESC, Intravascular Ultrasound fellowship from Sakakibara heart institute, Okayama, Japan in 2018 is working in Cardiology, Cardiac Sciences asSenior Consultant and is an expert in , Interventional Cardiology including complex coronary angioplasty, Pacemaker ICD Implantations and follow up, Balloon valvotomy and device closures for structural heart disease.",800,"KIMSHEALTH, P.B.No.1, Anayara P.O, Trivandrum – 695029, Kerala, India",914714711000,Sunday,09:00 - 18:00,Cardiology
Dr. Ramgopal M. Pillai,"MBBS (Tribhuban University, 2006)",19,"English, Hindi & Malayalam",Not Available,General Physician,Not Available,"Dr. Ramgopal M. Pillai is a expert General Physician have qualification of MBBS (Tribhuban University, 2006) currently working in Samad Hospital.",250,"Samad Hospital , nellippallil lane, vanchiyoor, thiruvananthapuram, kerala 695035, india, Machel, Thiruvananthapuram, None",-9428957730,All Days,09:00 - 17:00,General Medicine
Dr. Ranjith R,"MBBS (Academy of Medical Sciences Pariyaram Kannur, 2004), MD - General Medicine (MKCG Medical College, Berhampur, Orissa, 2010), DM - Cardiology (T.D. Medical College, Alappuzha, 2014)",21,"English, Hindi & Malayalam",Not Available,Cardiologist,Not Available,"Dr.Ranjith.R is a consultant interventional cardiologist currently working at General hospital Trivandrum, Kerala. He was previously associated with govt district hospital Palakkad for 3 years before joining the present institution.He completed his MBBS from the Academy of Medical Sciences Pariyaram, Kannur, Kerala, in 2005. He then did his post-graduation from Govt. MKCG Medical College in Berhampur, Orissa, and received the MD (General Medicine) degree in 2010. Dr. Ranjith moved back to Kerala in the following year and was based at Govt. TD Medical College in Alappuzha for the DM (Cardiology) super specialty degree, which he was awarded in 2014. He also completed a Fellowship in Diabetology (DFID) in 2014-15 from Christian Medical College (Vellore), and post graduate diploma in Diabetes Management from Middlesex University, London.
Dr. Ranjith 's fields of interest and expertise include complex coronary interventions, peripheral interventions, pacemaker therapy and interventions on adult congenital heart diseases.",300,"Dr.Ranjith.R 's Clinic , House No.1 Soorya gardens, Kulathoor house, Sasthamangalam, Thiruvananthapuram, 695010",-8980985482,All Days,15:00 - 18:00,Cardiology
